rating,numVotes,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,S.no.,startYear_y,No of seasons available,Language,genre_y,rating_y,age
7.4,165.0,Tucker's Witch,Tucker's Witch,0,1982,1983,60,"Drama,Fantasy,Mystery",200,1983.0,1.0,English,Drama,,16+
8.6,10449.0,"Yes, Prime Minister","Yes, Prime Minister",0,1986,1987,30,Comedy,307,1986.0,2.0,English,Comedy,,All
5.7,512.0,"Yes, Prime Minister","Yes, Prime Minister",0,2013,2013,30,Comedy,307,1986.0,2.0,English,Comedy,,All
7.3,11664.0,21 Jump Street,21 Jump Street,0,1987,1991,60,"Crime,Drama,Mystery",140,1987.0,5.0,English,Drama,,16+
7.0,6575.0,Beauty and the Beast,Beauty and the Beast,0,1987,1990,60,"Crime,Drama,Fantasy",79,2013.0,4.0,English,"Drama, Sci-fi",7.1,16+
5.9,20.0,Beauty and the Beast,Beauty and the Beast,0,1996,\N,60,"Music,Talk-Show",79,2013.0,4.0,English,"Drama, Sci-fi",7.1,16+
7.1,35777.0,Beauty and the Beast,Beauty and the Beast,0,2012,2016,60,"Drama,Horror,Romance",79,2013.0,4.0,English,"Drama, Sci-fi",7.1,16+
6.8,9035.0,Murphy Brown,Murphy Brown,0,1988,2018,30,Comedy,377,2018.0,1.0,English,Comedy,,All
6.2,808.0,Booker,Booker,0,1989,1990,60,"Crime,Drama,Mystery",210,1990.0,1.0,English,Drama,,16+
8.5,108805.0,Mr. Bean,Mr. Bean,0,1990,1995,25,"Comedy,Family",262,1995.0,1.0,English,Comedy,8.5,16+
6.7,37.0,The Family Man,The Family Man,0,1990,1991,30,Comedy,9,2019.0,1.0,Hindi,"Drama, Action",8.6,18+
8.8,75719.0,The Family Man,The Family Man,0,2019,\N,45,"Action,Comedy,Drama",9,2019.0,1.0,Hindi,"Drama, Action",8.6,18+
7.9,126588.0,The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air,0,1990,1996,22,Comedy,286,1991.0,6.0,English,Comedy,,7+
6.3,219.0,Neon Rider,Neon Rider,0,1989,1995,60,Drama,214,1990.0,5.0,English,Drama,,16+
5.8,350.0,Parenthood,Parenthood,0,1990,1991,60,"Comedy,Drama",123,2010.0,6.0,English,"Drama, Comedy",,16+
8.2,32629.0,Parenthood,Parenthood,0,2010,2015,60,"Comedy,Drama",123,2010.0,6.0,English,"Drama, Comedy",,16+
8.8,268143.0,Seinfeld,Seinfeld,0,1989,1998,22,Comedy,282,1990.0,9.0,English,Comedy,8.8,13+
7.1,2048.0,The Commish,The Commish,0,1991,1996,60,"Comedy,Crime,Drama",190,1992.0,4.0,English,Drama,,16+
6.6,2701.0,Silk Stalkings,Silk Stalkings,0,1991,1999,60,"Crime,Drama,Mystery",165,1992.0,4.0,English,Drama,,16+
6.0,4944.0,Renegade,Renegade,0,1992,1997,43,"Action,Adventure,Crime",247,1993.0,5.0,English,Action,,16+
5.1,11.0,The Boys,The Boys,0,1993,\N,30,Comedy,13,2019.0,2.0,English,"Action, Comedy",8.7,18+
8.7,311810.0,The Boys,The Boys,0,2019,\N,60,"Action,Crime,Drama",13,2019.0,2.0,English,"Action, Comedy",8.7,18+
6.7,22.0,Time After Time,Time After Time,0,1994,\N,30,"Comedy,Crime",154,2017.0,1.0,English,"Drama, Sci-fi",6.7,16+
6.7,3730.0,Time After Time,Time After Time,0,2017,2017,60,"Drama,Sci-Fi",154,2017.0,1.0,English,"Drama, Sci-fi",6.7,16+
7.9,40.0,The Office,The Office,0,1995,1995,30,Comedy,261,2005.0,9.0,English,Comedy,,13+
8.5,104036.0,The Office,The Office,0,2001,2003,30,"Comedy,Drama",261,2005.0,9.0,English,Comedy,,13+
8.9,470091.0,The Office,The Office,0,2005,2013,22,Comedy,261,2005.0,9.0,English,Comedy,,13+
6.0,12.0,The Office,The Office,0,2012,\N,5,Comedy,261,2005.0,9.0,English,Comedy,,13+
6.4,5545.0,The Office,The Office,0,2019,\N,22,Comedy,261,2005.0,9.0,English,Comedy,,13+
7.8,9230.0,The Tick,The Tick,0,1994,1997,30,"Action,Adventure,Animation",26,2018.0,2.0,English,"Comedy, Action",7.4,16+
