rating,numVotes_x,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,age,startYear_y,rating_y,numVotes_y
7.4,157452.0,Pretty Little Liars,Pretty Little Liars,0,2010,2017,44,"Drama,Mystery,Romance",TV-14,2016,9.6,80
7.4,157452.0,Pretty Little Liars,Pretty Little Liars,0,2010,2017,44,"Drama,Mystery,Romance",TV-14,2016,9.6,80
7.4,157452.0,Pretty Little Liars,Pretty Little Liars,0,2010,2017,44,"Drama,Mystery,Romance",TV-14,2016,9.6,80
7.4,157452.0,Pretty Little Liars,Pretty Little Liars,0,2010,2017,44,"Drama,Mystery,Romance",TV-14,2016,9.6,80
7.4,157452.0,Pretty Little Liars,Pretty Little Liars,0,2010,2017,44,"Drama,Mystery,Romance",TV-14,2016,9.6,80
7.3,15257.0,Breakout Kings,Breakout Kings,0,2011,2012,43,"Crime,Drama,Thriller",TV-14,2012,8.8,80
7.6,34754.0,Blue Bloods,Blue Bloods,0,2010,\N,43,"Crime,Drama,Mystery",TV-14,2016,9.5,80
7.3,69423.0,Hawaii Five-0,Hawaii Five-0,0,2010,2020,42,"Action,Crime,Drama",TV-14,2016,9.6,80
8.0,36155.0,Raising Hope,Raising Hope,0,2010,2014,22,"Comedy,Family",TV-14,2013,7.3,80
8.0,36155.0,Raising Hope,Raising Hope,0,2010,2014,22,"Comedy,Family",TV-14,2013,7.3,80
8.2,103925.0,The Killing,The Killing,0,2011,2014,45,"Crime,Drama,Mystery",TV-14,2014,7.3,80
8.2,103925.0,The Killing,The Killing,0,2011,2014,45,"Crime,Drama,Mystery",TV-14,2014,7.3,80
8.6,34789.0,Young Justice,Young Justice,0,2010,\N,23,"Action,Adventure,Animation",TV-PG,2012,7.1,80
7.7,24246.0,Switched at Birth,Switched at Birth,0,2011,2017,60,"Drama,Family,Romance",TV-14,2015,8.3,80
7.8,19454.0,Portlandia,Portlandia,0,2011,2018,22,Comedy,TV-14,2016,6.2,80
7.8,19454.0,Portlandia,Portlandia,0,2011,2018,22,Comedy,TV-14,2016,6.2,80
4.2,133.0,The Jungle Book,The Jungle Book,0,2010,\N,30,"Adventure,Animation,Family",PG,2016,9.7,80
4.2,133.0,The Jungle Book,The Jungle Book,0,2010,\N,30,"Adventure,Animation,Family",PG,2016,9.7,80
4.2,133.0,The Jungle Book,The Jungle Book,0,2010,\N,30,"Adventure,Animation,Family",PG,2016,9.7,80
4.2,133.0,The Jungle Book,The Jungle Book,0,2010,\N,30,"Adventure,Animation,Family",PG,2016,9.7,80
7.3,42158.0,Touch,Touch,0,2012,2013,43,"Drama,Mystery,Sci-Fi",TV-14,2012,6.8,80
7.7,203869.0,New Girl,New Girl,0,2011,2018,22,Comedy,TV-14,2016,9.1,80
7.7,203869.0,New Girl,New Girl,0,2011,2018,22,Comedy,TV-14,2016,9.1,80
7.7,203869.0,New Girl,New Girl,0,2011,2018,22,Comedy,TV-14,2016,9.1,80
7.7,203869.0,New Girl,New Girl,0,2011,2018,22,Comedy,TV-14,2016,9.1,80
7.7,203869.0,New Girl,New Girl,0,2011,2018,22,Comedy,TV-14,2016,9.1,80
7.7,203869.0,New Girl,New Girl,0,2011,2018,22,Comedy,TV-14,2016,9.1,80
8.1,53.0,The Magicians,The Magicians,0,2011,2012,60,"Comedy,Mystery",TV-MA,2016,8.9,80
7.6,46713.0,The Magicians,The Magicians,0,2015,2020,60,"Drama,Fantasy,Mystery",TV-MA,2016,8.9,80
7.7,49677.0,Hart of Dixie,Hart of Dixie,0,2011,2015,60,"Comedy,Drama,Romance",TV-PG,2014,8.1,80
7.7,49677.0,Hart of Dixie,Hart of Dixie,0,2011,2015,60,"Comedy,Drama,Romance",TV-PG,2014,8.1,80
8.3,31399.0,Longmire,Longmire,0,2012,2017,60,"Action,Crime,Drama",TV-14,2016,9.2,80
